Fid,gender,age,location_type,preferred_time,preferred_language_for_learning,prefered_location ,learning_group,average_time_ spent,elearning_style,Label
10.42.0.42-104.244.43.163-43380-443-6,Male,45,Rural,Morning,English,w College Lab,Science,s 6 and Above,NON VERBAL,0
10.42.0.211-10.42.0.1-7686-53-17,Male,55,Rural,Evening,English,Other Places,Science,Less than an hour,NON VERBAL,0
172.217.10.106-10.42.0.151-443-48914-6,Female,40,Rural,Morning,English,w Park or Garden,Science, 6 and Above,NON VERBAL,0
219.147.93.205-10.42.0.211-443-34071-6,Female,60,Rural,Morning,English,w Park or Garden,Science,2-4 hours,VERBAL,1
180.149.136.194-10.42.0.42-80-46051-6,Male,45,Rural,Morning,English,Class Room,Science,2-4 hours,NON VERBAL,0
172.217.12.163-10.42.0.42-443-48160-6,Male,40,Rural,Morning,English,w Class Room,Science, 2-4 hours,VERBAL,1
220.181.7.190-10.42.0.211-443-33887-6,Female,60,Urban,Late Night,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.151-10.42.0.1-40169-53-17,Male,40,Rural,Late Night,English,Central Library,Science, 2-4 hours,NON VERBAL,0
202.77.129.230-10.42.0.151-80-58558-6,Female,75,Rural,Morning,English,Central Library,Science, Less than an hour,NON VERBAL,0
172.217.10.46-10.42.0.151-443-41375-6,Male,45,Rural,Evening,English,w Park or Garden,Science,Less than an hour,NON VERBAL,0
157.240.2.36-10.42.0.211-443-32813-6,Male,50,Rural,Late Night,English,Central Library,Science,Less than an hour,NON VERBAL,0
10.42.0.151-10.42.0.1-12291-53-17,Female,40,Rural,Morning,English,Central Library,other, Less than an hour,NON VERBAL,0
156.154.200.36-10.42.0.211-443-36404-6,Male,40,Urban,Evening,English,Park or Garden,Arts,Less than an hour,NON VERBAL,0
10.42.0.1-10.42.0.42-53-35050-17,Male,40,Urban,Late Night,English,Class Room,Science,Less than an hour,NON VERBAL,0
162.208.22.39-10.42.0.211-443-57667-6,Male,55,Urban,Late Night,English,Central Library,Science,Less than an hour,VERBAL,1
180.149.136.194-10.42.0.211-80-52226-6,Male,20,Rural,Morning,English,w Home,Arts,Less than an hour,VERBAL,1
10.42.0.211-77.234.44.199-51601-80-6,Female,35,Urban,Evening,English,Home,Science, 2-4 hours,VERBAL,1
10.42.0.151-119.146.74.33-41908-443-6,Male,80,Rural,Afternoon,English,Campus Ground,Commerce,Less than an hour,VERBAL,1
10.42.0.151-104.244.43.99-50129-443-6,Male,40,Rural,Late Night,English,w Campus Ground,Science,Less than an hour,NON VERBAL,0
175.100.207.233-10.42.0.211-80-47310-6,Male,50,Urban,Morning,English,Home,Science,2-4 hours,VERBAL,1
10.42.0.211-54.192.36.221-37415-443-6,Male,40,Rural,Late Night,English,Home,Science,Less than an hour,VERBAL,1
157.240.3.19-10.42.0.211-443-35046-6,Male,40,Rural,Morning,English,Central Library,Science,Less than an hour,NON VERBAL,0
10.42.0.42-85.93.5.109-48953-80-6,Male,50,Rural,Late Night,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.151-69.147.82.60-56405-443-6,Male,60,Rural,Morning,English,College lab,Science,Less than an hour,NON VERBAL,0
10.42.0.211-64.71.142.96-53660-443-6,Male,35,Urban,Late Night,English,Central Library,Science, 2-4 hours,VERBAL,1
10.42.0.42-14.29.93.243-52857-80-6,Male,55,Urban,Morning,English,Home,Science,2-4 hours,VERBAL,1
172.217.3.106-10.42.0.42-443-60131-6,Female,60,Rural,Morning,English,Home,Science, 6 and Above,VERBAL,1
183.3.235.80-10.42.0.151-80-40065-6,Male,60,Rural,Morning,English,Home,Science,Less than an hour,VERBAL,1
172.217.3.106-10.42.0.211-443-60594-6,Male,50,Rural,Morning,English,w Other places,Science,Less than an hour,VERBAL,1
10.42.0.211-23.203.49.224-36526-443-6,Female,50,Rural,Morning,English,Home,Science,2-4 hours,VERBAL,1
10.42.0.211-23.46.197.118-41352-443-6,Female,40,Rural,Morning,English,Home,Science,Less than an hour,NON VERBAL,0
203.205.158.61-10.42.0.211-80-60014-6,Female,40,Rural,Morning,English,Central Library,Science,Less than an hour,NON VERBAL,0
10.42.0.151-23.66.240.213-55027-80-6,Male,35,Rural,Evening,English,Park or Garden,Science,Less than an hour,VERBAL,1
172.217.12.174-10.42.0.211-443-35221-6,Male,40,Rural,Morning,English,Central Library,Science,Less than an hour,NON VERBAL,0
216.58.219.228-10.42.0.211-443-54688-6,Male,40,Rural,Late Night,English,Home,Science, 2-4 hours,NON VERBAL,0
8.0.6.4-8.6.0.1-0-0-0,Male,55,Rural,Late Night,English,Home,Science,Less than an hour,NON VERBAL,0
172.217.10.35-10.42.0.211-80-39600-6,Male,40,Rural,Morning,English,College lab,Science,Less than an hour,NON VERBAL,0
10.42.0.151-10.42.0.1-4179-53-17,Male,40,Rural,Morning,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.42-23.208.87.120-57700-80-6,Male,25,Rural,Morning,English,College lab,Science, 2-4 hours,NON VERBAL,0
10.42.0.42-66.198.24.253-57711-443-6,Female,40,Rural,Morning,English,College lab,Science,2-4 hours,NON VERBAL,0
10.42.0.211-52.84.37.172-40018-443-6,Female,50,Rural,Morning,English,w Home,Science, 2-4 hours,VERBAL,1
10.42.0.151-112.90.74.178-48648-80-6,Male,40,Rural,Morning,English,College lab,Science,2-4 hours,VERBAL,1
10.42.0.211-52.84.40.205-47600-443-6,Male,40,Rural,Morning,English,Central Library,Science,2-4 hours,VERBAL,1
10.42.0.151-23.194.140.73-46795-443-6,Male,55,Rural,Morning,English,Class Room,Science,2-4 hours,NON VERBAL,0
182.22.31.252-10.42.0.151-443-50779-6,Female,55,Rural,Late Night,English,w College lab,Science,Less than an hour,VERBAL,1
10.42.0.151-10.42.0.1-16886-53-17,Male,40,Rural,Late Night,English,Home,Science,Less than an hour,NON VERBAL,0
172.217.12.170-10.42.0.211-443-41214-6,Female,55,Rural,Late Night,English,Central Library,Science,Less than an hour,VERBAL,1
10.42.0.211-64.71.142.124-55657-443-6,Female,40,Rural,Late Night,English,Home,Science, 2-4 hours,NON VERBAL,0
172.217.11.14-10.42.0.211-443-55117-6,Male,40,Rural,Morning,English,Home,Science, 2-4 hours,NON VERBAL,0
10.42.0.42-58.220.11.230-52223-80-6,Female,60,Rural,Morning,English,Home,Commerce,Less than an hour,NON VERBAL,0
202.77.129.150-10.42.0.151-80-51631-6,Male,55,Rural,Morning,English,Home,Commerce,Less than an hour,VERBAL,1
175.100.207.231-10.42.0.211-80-55879-6,Male,25,Rural,Morning,English,Class Room,Arts,Less than an hour,NON VERBAL,0
10.42.0.211-10.42.0.1-16906-53-17,Male,50,Rural,Morning,English,Central Library,Commerce, 2-4 hours,NON VERBAL,0
10.42.0.1-10.42.0.42-53-16788-17,Male,40,Rural,Late Night,English,Central Library,Science, 2-4 hours,NON VERBAL,0
10.42.0.211-114.134.80.163-57192-443-6,Female,30,Rural,Morning,English,Central Library,Commerce,Less than an hour,VERBAL,1
10.42.0.211-31.13.69.195-56545-443-6,Male,60,Rural,Evening,English,Home,Science, 2-4 hours,VERBAL,1
10.42.0.42-111.206.25.159-46340-80-6,Male,40,Rural,Morning,English,Home,Science, 2-4 hours,NON VERBAL,0
172.217.12.163-10.42.0.211-443-44040-6,Male,50,Rural,Morning,English,Home,Commerce,2-4 hours,NON VERBAL,0
208.80.154.224-10.42.0.211-443-47231-6,Female,35,Rural,Late Night,English,Home,Arts, 2-4 hours,NON VERBAL,0
10.42.0.211-121.12.98.62-41147-80-6,Male,40,Rural,Morning,English,Central Library,Science, 2-4 hours,VERBAL,1
10.42.0.211-123.125.46.161-49632-80-6,Male,25,Rural,Morning,English,Home,other, 2-4 hours,NON VERBAL,0
172.217.12.206-10.42.0.151-443-37160-6,Male,40,Rural,Morning,English,Home,Science, 2-4 hours,NON VERBAL,0
157.240.18.36-10.42.0.42-443-56022-6,Male,55,Rural,Evening,English,Central Library,Science,2-4 hours,NON VERBAL,0
172.217.10.227-10.42.0.211-443-40737-6,Female,50,Rural,Afternoon,English,w Home,Science,Less than an hour,NON VERBAL,0
10.42.0.211-119.146.74.33-50805-443-6,Female,40,Rural,Morning,English,w Other places,Arts, 2-4 hours,NON VERBAL,0
216.58.219.227-10.42.0.151-443-38221-6,Male,60,Rural,Afternoon,English,w Home,Science, 2-4 hours,NON VERBAL,0
10.42.0.211-10.42.0.1-55671-53-17,Female,45,Rural,Late Night,English,Central Library,Science,Less than an hour,NON VERBAL,0
172.217.11.14-10.42.0.151-443-54822-6,Female,55,Rural,Late Night,English,Class Room,Science,2-4 hours,NON VERBAL,0
172.217.10.78-10.42.0.151-443-42200-6,Male,60,Rural,Morning,English,Central Library,Science, 2-4 hours,NON VERBAL,0
10.42.0.211-104.254.66.16-47478-80-6,Male,50,Rural,Late Night,English,w Home,Science, 2-4 hours,NON VERBAL,0
206.126.112.141-10.42.0.151-443-37248-6,Female,50,Rural,Morning,English,w Class Room,Science,Less than an hour,NON VERBAL,0
10.42.0.211-36.110.210.167-55476-80-6,Male,50,Rural,Morning,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.211-106.39.169.66-51882-80-6,Male,60,Rural,Afternoon,English,College lab,Science,Less than an hour,VERBAL,1
10.42.0.211-104.43.254.159-54229-443-6,Male,40,Rural,Morning,English,Home,Science, 2-4 hours,VERBAL,1
172.217.10.106-10.42.0.42-443-49651-6,Female,50,Rural,Morning,English,Home,Science,Less than an hour,VERBAL,1
172.217.12.170-10.42.0.211-443-33885-6,Male,40,Rural,Evening,English,Home,Science,2-4 hours,VERBAL,1
10.42.0.211-23.203.49.224-39841-443-6,Male,45,Rural,Late Night,English,Other places,other, 5-6 hours,VERBAL,1
10.42.0.211-23.206.166.62-42575-80-6,Female,45,Rural,Afternoon,English,Home,Science, 6 and Above,VERBAL,1
10.42.0.151-10.42.0.1-3790-53-17,Male,35,Rural,Evening,English,Home,Science,2-4 hours,VERBAL,1
10.42.0.151-76.13.28.70-33298-443-6,Male,45,Rural,Evening,English,w Home,other, 2-4 hours,NON VERBAL,0
10.42.0.42-104.97.95.172-57436-80-6,Male,75,Rural,Morning,English,Other places,Science,Less than an hour,VERBAL,1
172.217.10.142-10.42.0.42-443-60830-6,Male,70,Rural,Morning,English,College lab,Science,Less than an hour,VERBAL,1
10.42.0.211-54.192.38.154-53341-443-6,Male,50,Rural,Morning,English,Central Library,Science,Less than an hour,VERBAL,1
10.42.0.211-64.71.142.95-42886-443-6,Female,40,Rural,Morning,English,College lab,Science,Less than an hour,VERBAL,1
172.217.6.234-10.42.0.151-443-49966-6,Male,35,Rural,Morning,English,w Central Library,Science, 2-4 hours,VERBAL,1
140.205.172.65-10.42.0.211-443-57261-6,Female,40,Rural,Evening,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.42-123.125.115.164-53676-443-6,Male,55,Rural,Morning,English,Central Library,Science, 2-4 hours,VERBAL,1
202.77.129.185-10.42.0.211-80-45813-6,Female,30,Rural,Morning,English,Home,Science,Less than an hour,VERBAL,1
203.130.53.126-10.42.0.211-80-38980-6,Female,25,Rural,Morning,English,Home,Science,g 5-6 hours,NON VERBAL,0
172.217.9.227-10.42.0.211-80-45047-6,Male,30,Rural,Morning,English,Home,Science,Less than an hour,VERBAL,1
172.217.12.196-10.42.0.211-443-49324-6,Male,80,Rural,Late Night,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.211-10.42.0.1-64029-53-17,Female,45,Rural,Late Night,English,Home,Science,Less than an hour,VERBAL,1
172.217.11.46-10.42.0.151-443-58290-6,Male,60,Rural,Morning,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.151-66.102.255.61-38991-80-6,Male,55,Rural,Evening,English,Home,Science, 2-4 hours,VERBAL,1
10.42.0.151-31.13.71.7-59286-443-6,Male,55,Rural,Late Night,English,w Central Library,Science, Less than an hour,VERBAL,1
10.42.0.211-58.63.236.212-42038-443-6,Male,60,Rural,Morning,English,Central Library,Science,Less than an hour,VERBAL,1
10.42.0.1-10.42.0.42-53-2400-17,Female,60,Rural,Evening,English,Class Room,Science,Less than an hour,VERBAL,1
10.42.0.42-42.236.125.112-33516-80-6,Male,40,Rural,Late Night,English,Home,Science, Less than an hour,VERBAL,1
10.42.0.42-64.71.142.96-41141-443-6,Male,60,Rural,Late Night,English,College lab,Science,Less than an hour,VERBAL,1
10.42.0.1-10.42.0.42-53-19260-17,Male,35,Rural,Morning,English,College lab,Science,Less than an hour,VERBAL,1
222.73.28.96-10.42.0.211-80-58375-6,Male,50,Rural,Evening,English,w Central Library,Science,Less than an hour,VERBAL,1
205.204.101.182-10.42.0.211-443-49143-6,Male,55,Rural,Afternoon,English,Other places,Science,Less than an hour,VERBAL,1
10.42.0.151-10.42.0.1-16011-53-17,Female,45,Rural,Late Night,English,w Park or Garden,Science, 2-4 hours,VERBAL,1
219.142.78.162-10.42.0.151-80-54618-6,Female,30,Rural,Morning,English,Central Library,Science,Less than an hour,VERBAL,1
10.42.0.211-10.42.0.1-58071-53-17,Male,40,Rural,Late Night,English,w Home,Science,Less than an hour,NON VERBAL,0
10.42.0.151-10.42.0.1-6793-53-17,Male,60,Rural,Morning,English,Home,Science,2-4 hours,VERBAL,1
172.217.3.110-10.42.0.151-443-56652-6,Male,35,Rural,Late Night,English,w Home,Science,Less than an hour,VERBAL,1
10.42.0.42-123.125.29.220-49199-80-6,Female,30,Rural,Morning,English,Central Library,Science,Less than an hour,VERBAL,1
10.42.0.211-23.203.49.224-42376-443-6,Female,55,Rural,Late Night,English,College Lab,Science,Less than an hour,VERBAL,1
10.42.0.151-98.139.199.205-36368-443-6,Male,45,Rural,Morning,English,Central Library,Science,Less than an hour,VERBAL,1
220.243.219.55-10.42.0.42-80-59608-6,Male,60,Rural,Morning,English,Class Room,Science, 2-4 hours,NON VERBAL,0
220.243.219.55-10.42.0.211-80-55151-6,Male,55,Rural,Morning,English,Class Room,Science,2-4 hours,VERBAL,1
10.42.0.211-64.71.142.125-58549-443-6,Male,45,Rural,Morning,English,College Lab,Science, 6 and Above,VERBAL,1
209.85.201.188-10.42.0.151-5228-53409-6,Female,50,Rural,Morning,English,Home,Science,Less than an hour,VERBAL,1
180.76.147.97-10.42.0.211-80-60005-6,Male,45,Rural,Morning,English,Home,Science,Less than an hour,NON VERBAL,0
8.0.6.4-8.6.0.1-0-0-0,Male,40,Rural,Morning,English,Home,Science,2-4 hours,VERBAL,1
10.42.0.42-40.127.169.165-59453-443-6,Male,50,Rural,Morning,English,w Home,Science,Less than an hour,VERBAL,1
10.42.0.151-114.134.80.163-35156-443-6,Male,25,Rural,Morning,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.151-103.7.30.118-56203-80-6,Male,50,Rural,Morning,English,w Home,Science,Less than an hour,VERBAL,1
206.126.112.141-10.42.0.42-443-40754-6,Male,40,Rural,Morning,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.151-10.42.0.1-13923-53-17,Male,40,Rural,Late Night,English,Home,Science, 2-4 hours,VERBAL,1
8.0.6.4-8.6.0.1-0-0-0,Female,65,Rural,Late Night,English,Central Library,Science,Less than an hour,VERBAL,1
203.205.151.213-10.42.0.151-8080-38720-6,Male,40,Rural,Late Night,English,w Central Library,Science,Less than an hour,VERBAL,1
180.149.134.221-10.42.0.211-80-45965-6,Male,60,Rural,Late Night,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.1-10.42.0.42-53-59051-17,Male,60,Rural,Morning,English,Park or Garden,Science, 2-4 hours,VERBAL,1
10.42.0.1-10.42.0.42-53-63423-17,Male,40,Rural,Morning,English,Central Library,Science,2-4 hours,VERBAL,1
180.149.153.234-10.42.0.151-80-44857-6,Male,60,Rural,Morning,English,w Home,Science, 2-4 hours,VERBAL,1
10.42.0.211-10.42.0.1-40858-53-17,Female,60,Rural,Morning,English,College Lab,Science,2-4 hours,VERBAL,1
10.42.0.211-10.42.0.1-51704-53-17,Male,20,Rural,Morning,English,Park or Garden,Science,2-4 hours,VERBAL,1
239.255.255.250-10.42.0.42-1900-57206-17,Female,25,Rural,Late Night,English,Home,Science,2-4 hours,VERBAL,1
172.217.3.35-10.42.0.42-443-47404-6,Female,40,Rural,Morning,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.1-10.42.0.42-53-4524-17,Male,45,Rural,Evening,English,w Central Library,Science,Less than an hour,VERBAL,1
182.22.25.252-10.42.0.211-443-57335-6,Male,60,Rural,Morning,English,w Home,Science,Less than an hour,VERBAL,1
144.2.1.1-10.42.0.211-80-55371-6,Male,40,Rural,Morning,English,Home,Science, 2-4 hours,VERBAL,1
180.76.150.180-10.42.0.211-80-39052-6,Male,55,Rural,Late Night,English,Park or Garden,Science, 2-4 hours,VERBAL,1
157.240.2.20-10.42.0.211-443-56466-6,Male,35,Rural,Morning,English,Central Library,Science,Less than an hour,VERBAL,1
172.217.6.234-10.42.0.211-443-55425-6,Female,45,Rural,Morning,English,Central Library,Science,Less than an hour,VERBAL,1
10.42.0.211-10.42.0.1-59543-53-17,Male,25,Rural,Morning,English,Home,Science,Less than an hour,VERBAL,1
203.205.151.212-10.42.0.151-80-47360-6,Male,60,Rural,Evening,English,Home,Science, 2-4 hours,VERBAL,1
172.217.3.99-10.42.0.151-443-59517-6,Male,60,Rural,Afternoon,English,Class Room,Science, 2-4 hours,VERBAL,1
10.42.0.151-23.208.147.183-48883-443-6,Male,35,Rural,Morning,English,Park or Garden,Science,Less than an hour,VERBAL,1
10.42.0.211-119.6.229.36-42096-80-6,Male,40,Rural,Afternoon,English,Park or Garden,Science, 2-4 hours,VERBAL,1
239.255.255.250-10.42.0.151-1900-58127-17,Female,55,Rural,Late Night,English,Central Library,Science, 2-4 hours,NON VERBAL,0
10.42.0.211-77.234.42.92-57427-443-6,Female,45,Urban,Late Night,English,Park or Garden,Science,2-4 hours,VERBAL,1
175.100.207.232-10.42.0.211-80-46722-6,Male,40,Rural,Morning,English,Central Library,Science, 2-4 hours,VERBAL,1
10.42.0.211-115.239.210.141-58262-443-6,Male,50,Rural,Late Night,English,Home,Science, 2-4 hours,VERBAL,1
10.42.0.211-77.234.44.79-52881-443-6,Male,45,Rural,Morning,English,Home,Science, 2-4 hours,VERBAL,1
10.42.0.151-10.42.0.1-44769-53-17,Male,35,Rural,Morning,English,Home,Science, 2-4 hours,VERBAL,1
206.108.0.131-10.42.0.211-123-51817-17,Male,55,Rural,Afternoon,English,College Lab,Science,2-4 hours,VERBAL,1
172.217.10.142-10.42.0.151-443-48214-6,Male,40,Urban,Morning,English,College Lab,Science,Less than an hour,VERBAL,1
157.240.0.17-10.42.0.211-443-47115-6,Male,35,Urban,Morning,English,w Central Library,Science, 2-4 hours,VERBAL,1
182.22.120.231-10.42.0.151-443-35655-6,Male,60,Urban,Evening,English,Class Room,Science, 2-4 hours,VERBAL,1
182.22.24.124-10.42.0.211-443-41764-6,Female,45,Rural,Late Night,English,Park or Garden,Science,Less than an hour,VERBAL,1
172.217.6.200-10.42.0.211-443-41694-6,Female,25,Urban,Afternoon,English,Central Library,Science,2-4 hours,VERBAL,1
10.42.0.211-69.147.82.61-41649-443-6,Female,20,Rural,Evening,English,Campus Ground,Science, 2-4 hours,VERBAL,1
10.42.0.211-23.206.166.62-41407-80-6,Male,40,Rural,Evening,English,Class Room,Science, 2-4 hours,VERBAL,1
10.42.0.211-106.11.30.199-36364-443-6,Male,40,Rural,Morning,English,Central Library,Science,Less than an hour,VERBAL,1
172.217.10.106-10.42.0.211-443-59705-6,Male,30,Rural,Morning,English,To prepare class Assignments,Science,Less than an hour,VERBAL,1
10.42.0.211-10.42.0.1-46221-53-17,Male,40,Rural,Morning,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.211-23.208.168.108-51833-443-6,Male,40,Rural,Morning,English,w Central Library,Science, 2-4 hours,VERBAL,1
203.205.158.62-10.42.0.151-80-53994-6,Female,40,Rural,Morning,English,Home,Science,Less than an hour,VERBAL,1
180.149.153.234-10.42.0.211-80-53928-6,Male,40,Rural,Evening,English,Home,Science,2-4 hours,VERBAL,1
205.204.101.182-10.42.0.211-443-49824-6,Male,40,Rural,Morning,English,w Central Library,Science, 5-6 hours,VERBAL,1
192.229.173.173-10.42.0.42-443-33619-6,Female,30,Rural,Morning,English,w Central Library,Science, 6 and Above,VERBAL,1
10.42.0.151-64.71.142.96-58074-80-6,Male,60,Rural,Morning,English,Central Library,Science,2-4 hours,VERBAL,1
10.42.0.211-104.193.88.109-37740-80-6,Female,40,Rural,Morning,English,Home,Science, 2-4 hours,VERBAL,1
172.217.11.2-10.42.0.211-443-34919-6,Female,45,Rural,Late Night,English,w Home,Science,Less than an hour,VERBAL,1
174.35.73.108-10.42.0.42-443-43146-6,Male,45,Rural,Late Night,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.211-23.205.20.233-43570-80-6,Male,45,Rural,Morning,English,Other Places,Science,Less than an hour,VERBAL,1
172.217.11.46-10.42.0.151-443-48949-6,Male,40,Rural,Evening,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.211-77.234.42.92-51512-443-6,Female,40,Rural,Late Night,English,Home,Science, 2-4 hours,VERBAL,1
10.42.0.151-52.84.142.16-47647-443-6,Male,45,Rural,Morning,English,Park or Garden,Science,Less than an hour,VERBAL,1
172.217.10.237-10.42.0.42-443-59294-6,Male,45,Rural,Evening,English,Home,Science, 2-4 hours,VERBAL,1
10.42.0.1-10.42.0.42-53-43407-17,Male,40,Rural,Late Night,English,Central Library,Science,Less than an hour,VERBAL,1
10.42.0.151-54.192.38.7-43593-443-6,Female,30,Rural,Late Night,English,w Home,Science,g 5-6 hours,VERBAL,1
172.217.12.131-10.42.0.151-443-34781-6,Male,40,Rural,Morning,English,Central Library,Science,Less than an hour,VERBAL,1
172.217.10.234-10.42.0.42-443-40909-6,Male,50,Rural,Evening,English,Home,Science,Less than an hour,VERBAL,1
174.36.210.41-10.42.0.211-5222-55916-6,Male,40,Rural,Afternoon,English,Home,Science,Less than an hour,VERBAL,1
202.77.129.150-10.42.0.211-443-48302-6,Female,60,Rural,Late Night,English,Home,Science, 2-4 hours,VERBAL,1
151.101.1.140-10.42.0.151-443-56909-6,Male,60,Rural,Morning,English,Other Places,Science,Less than an hour,VERBAL,1
10.42.0.211-58.63.236.212-46649-443-6,Male,55,Rural,Late Night,English,Class Room,Science, 2-4 hours,VERBAL,1
203.205.158.60-10.42.0.151-80-40687-6,Male,35,Rural,Morning,English,Home,Science, 2-4 hours,VERBAL,1
10.42.0.211-95.213.11.133-33460-443-6,Male,45,Rural,Late Night,English,Home,Science,2-4 hours,VERBAL,1
10.42.0.211-106.11.92.16-55173-443-6,Female,65,Rural,Morning,English,Home,Science, 2-4 hours,VERBAL,1
172.217.3.98-10.42.0.211-443-34371-6,Male,50,Rural,Late Night,English,College Lab,Science, 2-4 hours,VERBAL,1
10.42.0.211-106.39.162.36-55111-80-6,Male,35,Rural,Morning,English,Park or Garden,Science, 2-4 hours,VERBAL,1
8.8.8.8-10.42.0.211-53-32368-17,Female,50,Rural,Morning,English,Central Library,Science, 2-4 hours,VERBAL,1
10.42.0.211-10.42.0.1-23550-53-17,Female,60,Rural,Morning,English,Park or Garden,Science,2-4 hours,VERBAL,1
10.42.0.211-10.42.0.1-30749-53-17,Male,40,Rural,Morning,English,Home,Science,Less than an hour,VERBAL,1
169.47.42.102-10.42.0.211-443-57250-6,Male,45,Rural,Morning,English,Central Library,Science, 2-4 hours,VERBAL,1
202.77.129.150-10.42.0.211-80-34481-6,Male,30,Rural,Morning,English,College Lab,Science, 2-4 hours,VERBAL,1
10.42.0.211-10.42.0.1-7017-53-17,Male,20,Rural,Evening,English,Central Library,Science,Less than an hour,VERBAL,1
10.42.0.211-101.251.100.59-57972-9930-6,Male,55,Rural,Morning,English,Home,Science,2-4 hours,VERBAL,1
172.217.9.227-10.42.0.211-80-59919-6,Male,40,Rural,Morning,English,Home,Science, 2-4 hours,VERBAL,1
140.205.140.87-10.42.0.211-80-60932-6,Male,40,Rural,Evening,English,Home,Science, 2-4 hours,VERBAL,1
172.217.12.131-10.42.0.42-443-40747-6,Female,35,Rural,Late Night,English,College Lab,Science,Less than an hour,NON VERBAL,0
10.42.0.151-31.13.71.52-55031-80-6,Female,30,Rural,Late Night,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.211-10.42.0.1-31723-53-17,Female,25,Rural,Late Night,English,Class Room,Science,Less than an hour,VERBAL,1
172.217.3.99-10.42.0.211-443-51370-6,Male,40,Rural,Late Night,English,Central Library,Science, 2-4 hours,NON VERBAL,0
172.217.10.68-10.42.0.151-443-36254-6,Female,40,Rural,Morning,English,Central Library,Science,Less than an hour,NON VERBAL,0
10.42.0.211-95.154.220.116-34342-80-6,Female,40,Rural,Morning,English,w Park or Garden,Science,2-4 hours,VERBAL,1
10.42.0.211-77.234.44.200-51293-80-6,Male,40,Rural,Late Night,English,Class Room,Science, 5-6 hours,NON VERBAL,0
172.217.10.3-10.42.0.42-443-40122-6,Male,55,Rural,Morning,English,Central Library,Science, 6 and Above,VERBAL,1
10.42.0.211-123.125.29.220-55261-80-6,Male,35,Rural,Evening,English,Home,Science,2-4 hours,VERBAL,1
202.77.129.230-10.42.0.42-80-36706-6,Male,30,Rural,Late Night,English,Home,Science, 2-4 hours,NON VERBAL,0
172.217.10.234-10.42.0.151-443-60520-6,Female,40,Rural,Evening,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.1-10.42.0.42-53-44491-17,Male,40,Rural,Morning,English,Class Room,Science,Less than an hour,VERBAL,1
10.42.0.211-31.13.71.1-47432-443-6,Male,65,Rural,Morning,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.42-61.135.185.139-58136-80-6,Male,40,Rural,Afternoon,English,Central Library,Science,Less than an hour,VERBAL,1
10.42.0.151-31.13.71.3-60663-443-6,Female,40,Rural,Evening,English,Central Library,Science, 2-4 hours,NON VERBAL,0
8.0.6.4-8.6.0.1-0-0-0,Male,35,Rural,Morning,English,w Park or Garden,Science,Less than an hour,VERBAL,1
172.217.3.98-10.42.0.211-443-51317-6,Female,45,Rural,Morning,English,Central Library,Science, 2-4 hours,VERBAL,1
205.204.101.182-10.42.0.42-443-36814-6,Female,40,Rural,Late Night,English,Central Library,other,Less than an hour,NON VERBAL,0
198.11.189.2-10.42.0.151-443-41805-6,Female,40,Rural,Late Night,English,Park or Garden,Arts,g 5-6 hours,NON VERBAL,0
203.205.158.66-10.42.0.211-443-53485-6,Male,55,Rural,Late Night,English,Class Room,Science,Less than an hour,VERBAL,1
10.42.0.211-23.208.168.108-49615-443-6,Female,25,Rural,Morning,English,Central Library,Science,Less than an hour,VERBAL,1
172.217.10.78-10.42.0.151-443-36652-6,Male,40,Rural,Evening,English,w Home,Arts,Less than an hour,VERBAL,1
10.42.0.211-106.39.162.36-53896-80-6,Male,40,Rural,Late Night,English,Home,Science,Less than an hour,NON VERBAL,0
239.255.255.250-10.42.0.1-1900-56205-17,Female,60,Rural,Morning,English,Campus Ground,Commerce,Less than an hour,VERBAL,1
10.42.0.211-66.198.24.224-59002-80-6,Male,50,Rural,Evening,English,w Campus Ground,Science,Less than an hour,VERBAL,1
206.126.112.142-10.42.0.151-443-51027-6,Male,45,Rural,Late Night,English,Home,Science,2-4 hours,VERBAL,1
180.149.138.197-10.42.0.211-80-48624-6,Female,40,Rural,Late Night,English,Home,Science,5-6 hours,VERBAL,1
172.217.7.163-10.42.0.151-443-49709-6,Male,45,Rural,Morning,English,Central Library,Science,s 6 and Above,VERBAL,1
10.42.0.151-104.244.43.195-58057-443-6,Male,40,Rural,Evening,English,Home,Science,2-4 hours,VERBAL,1
10.42.0.211-10.42.0.1-48313-53-17,Male,30,Rural,Afternoon,English,College lab,Science,2-4 hours,VERBAL,1
